Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,257.3500061035156,259.5899963378906,246.02999877929688,250.6699981689453,250.6699981689453,2187000
2021-01-05,245.22999572753906,251.25,242.5,249.5500030517578,249.5500030517578,2588100
2021-01-06,241.83999633789062,246.5,238.8179931640625,239.72000122070312,239.72000122070312,1773400
2021-01-07,244.0,251.69000244140625,243.2550048828125,250.8300018310547,250.8300018310547,1406300
2021-01-08,251.63999938964844,254.75999450683594,247.33999633789062,253.1199951171875,253.1199951171875,1626900
2021-01-11,251.41299438476562,253.6790008544922,245.1999969482422,252.1999969482422,252.1999969482422,1420600
2021-01-12,254.5800018310547,257.989990234375,253.13800048828125,256.1400146484375,256.1400146484375,1149900
2021-01-13,260.3299865722656,262.04998779296875,255.41000366210938,256.6000061035156,256.6000061035156,1052900
2021-01-14,260.0,262.67999267578125,255.7100067138672,259.1099853515625,259.1099853515625,1028900
2021-01-15,260.989990234375,263.82000732421875,251.52000427246094,252.99000549316406,252.99000549316406,1177800
2021-01-19,255.52000427246094,262.2900085449219,253.50999450683594,260.8399963378906,260.8399963378906,1049000
2021-01-20,265.0,265.29998779296875,259.3599853515625,264.0899963378906,264.0899963378906,998300
2021-01-21,265.989990234375,266.1289978027344,259.80999755859375,262.239990234375,262.239990234375,1024700
2021-01-22,264.4800109863281,265.21099853515625,259.8800048828125,264.0,264.0,1049200
2021-01-25,267.95001220703125,270.989990234375,255.5,263.4599914550781,263.4599914550781,1492800
2021-01-26,264.7799987792969,264.8900146484375,254.75999450683594,257.4800109863281,257.4800109863281,1471800
2021-01-27,253.44000244140625,257.3699951171875,246.00999450683594,251.3300018310547,251.3300018310547,1374200
2021-01-28,251.1300048828125,261.54998779296875,250.50999450683594,258.4800109863281,258.4800109863281,1157100
2021-01-29,254.9199981689453,260.29998779296875,252.66000366210938,259.010009765625,259.010009765625,1025700
2021-02-01,260.7099914550781,267.3900146484375,259.0,266.3699951171875,266.3699951171875,846600
2021-02-02,266.92999267578125,276.8699951171875,266.4200134277344,276.3299865722656,276.3299865722656,979300
2021-02-03,276.0,277.79998779296875,270.3399963378906,276.25,276.25,978900
2021-02-04,277.69000244140625,284.0,276.45001220703125,283.6199951171875,283.6199951171875,1031700
2021-02-05,282.2699890136719,284.3699951171875,278.739990234375,282.94000244140625,282.94000244140625,813400
2021-02-08,283.2900085449219,286.0,280.01800537109375,281.1499938964844,281.1499938964844,772000
2021-02-09,281.3399963378906,287.9549865722656,279.3299865722656,279.8900146484375,279.8900146484375,1166200
2021-02-10,281.0,289.9800109863281,278.6000061035156,286.5,286.5,973200
2021-02-11,289.3800048828125,292.19000244140625,285.2510070800781,286.6400146484375,286.6400146484375,646800
2021-02-12,286.89599609375,294.0,283.2030029296875,291.7799987792969,291.7799987792969,724300
