Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,26.049999237060547,26.540000915527344,24.469999313354492,26.3799991607666,26.3799991607666,6916700
2021-01-05,25.93000030517578,28.280000686645508,25.8700008392334,28.010000228881836,28.010000228881836,3738700
2021-01-06,27.920000076293945,30.489999771118164,26.799999237060547,28.299999237060547,28.299999237060547,4787900
2021-01-07,29.6299991607666,33.97999954223633,29.209999084472656,32.88999938964844,32.88999938964844,6540200
2021-01-08,33.47999954223633,39.560001373291016,33.04999923706055,36.70000076293945,36.70000076293945,12189900
2021-01-11,37.54999923706055,37.56999969482422,33.720001220703125,34.2599983215332,34.2599983215332,7322900
2021-01-12,34.599998474121094,35.400001525878906,32.470001220703125,33.2400016784668,33.2400016784668,5000100
2021-01-13,34.16999816894531,36.540000915527344,33.79999923706055,34.349998474121094,34.349998474121094,4959900
2021-01-14,34.279998779296875,38.529998779296875,34.279998779296875,37.720001220703125,37.720001220703125,6286100
2021-01-15,37.9900016784668,40.77000045776367,36.68000030517578,36.91999816894531,36.91999816894531,6506900
2021-01-19,39.150001525878906,40.529998779296875,37.099998474121094,40.20000076293945,40.20000076293945,6191800
2021-01-20,40.34000015258789,41.650001525878906,38.02000045776367,38.59000015258789,38.59000015258789,5044000
2021-01-21,39.22999954223633,39.29999923706055,34.7599983215332,36.310001373291016,36.310001373291016,4876700
2021-01-22,35.689998626708984,37.7599983215332,35.099998474121094,37.41999816894531,37.41999816894531,3472400
2021-01-25,36.95000076293945,38.20000076293945,34.52000045776367,35.95000076293945,35.95000076293945,3824000
2021-01-26,35.29999923706055,36.11000061035156,32.54999923706055,32.880001068115234,32.880001068115234,5483600
2021-01-27,30.90999984741211,32.9900016784668,28.75,31.059999465942383,31.059999465942383,5653400
2021-01-28,31.399999618530273,35.70000076293945,31.149999618530273,34.279998779296875,34.279998779296875,4097300
2021-01-29,34.38999938964844,34.869998931884766,32.0,32.349998474121094,32.349998474121094,3199500
2021-02-01,33.22999954223633,34.68000030517578,32.5099983215332,34.18000030517578,34.18000030517578,3321100
2021-02-02,34.97999954223633,36.93000030517578,34.81999969482422,35.2400016784668,35.2400016784668,3731200
2021-02-03,36.119998931884766,36.43000030517578,33.959999084472656,34.81999969482422,34.81999969482422,2855500
2021-02-04,34.869998931884766,35.70000076293945,34.15999984741211,35.0099983215332,35.0099983215332,2150900
2021-02-05,35.470001220703125,37.099998474121094,35.029998779296875,36.220001220703125,36.220001220703125,2704100
2021-02-08,37.369998931884766,39.099998474121094,37.25,38.650001525878906,38.650001525878906,3613400
2021-02-09,38.540000915527344,40.529998779296875,37.66999816894531,39.540000915527344,39.540000915527344,2935600
2021-02-10,48.5,51.880001068115234,45.38999938964844,45.900001525878906,45.900001525878906,12880800
2021-02-11,51.0,53.689998626708984,48.63999938964844,51.150001525878906,51.150001525878906,9203000
2021-02-12,49.029998779296875,51.27000045776367,45.75,50.31999969482422,50.31999969482422,5925300
