Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,2.200000047683716,2.200000047683716,2.0,2.009999990463257,2.009999990463257,29873800
2021-01-05,1.9900000095367432,2.0299999713897705,1.909999966621399,1.9800000190734863,1.9800000190734863,28148300
2021-01-06,2.0299999713897705,2.2300000190734863,1.9700000286102295,2.009999990463257,2.009999990463257,67363300
2021-01-07,2.0799999237060547,2.109999895095825,2.0199999809265137,2.049999952316284,2.049999952316284,26150500
2021-01-08,2.0899999141693115,2.2100000381469727,2.069999933242798,2.140000104904175,2.140000104904175,39462600
2021-01-11,2.1600000858306885,2.2699999809265137,2.1500000953674316,2.200000047683716,2.200000047683716,41695800
2021-01-12,2.240000009536743,2.390000104904175,2.240000009536743,2.2899999618530273,2.2899999618530273,41784300
2021-01-13,2.3299999237060547,2.380000114440918,2.130000114440918,2.180000066757202,2.180000066757202,45847700
2021-01-14,2.2200000286102295,2.319999933242798,2.130000114440918,2.180000066757202,2.180000066757202,49638800
2021-01-15,2.200000047683716,2.549999952316284,2.180000066757202,2.3299999237060547,2.3299999237060547,160651300
2021-01-19,2.799999952316284,3.200000047683716,2.569999933242798,3.059999942779541,3.059999942779541,256276000
2021-01-20,3.2899999618530273,3.3399999141693115,2.75,2.9700000286102295,2.9700000286102295,181862200
2021-01-21,3.0,3.059999942779541,2.8499999046325684,2.9800000190734863,2.9800000190734863,64823800
2021-01-22,2.9100000858306885,3.740000009536743,2.809999942779541,3.509999990463257,3.509999990463257,266780300
2021-01-25,4.710000038146973,4.880000114440918,3.8499999046325684,4.420000076293945,4.420000076293945,443238100
2021-01-26,5.090000152587891,5.190000057220459,4.369999885559082,4.960000038146973,4.960000038146973,456850200
2021-01-27,20.34000015258789,20.360000610351562,11.010000228881836,19.899999618530273,19.899999618530273,1222342500
2021-01-28,11.979999542236328,16.5,6.510000228881836,8.630000114440918,8.630000114440918,591223900
2021-01-29,14.3100004196167,16.0,11.600000381469727,13.260000228881836,13.260000228881836,602193300
2021-02-01,17.0,17.25,12.90999984741211,13.300000190734863,13.300000190734863,434608000
2021-02-02,9.479999542236328,10.100000381469727,6.0,7.820000171661377,7.820000171661377,462775900
2021-02-03,8.850000381469727,9.770000457763672,7.889999866485596,8.970000267028809,8.970000267028809,221405100
2021-02-04,8.699999809265137,8.739999771118164,7.0,7.090000152587891,7.090000152587891,162985800
2021-02-05,7.170000076293945,8.270000457763672,6.519999980926514,6.829999923706055,6.829999923706055,195267800
2021-02-08,6.880000114440918,6.889999866485596,5.75,6.179999828338623,6.179999828338623,128171500
2021-02-09,5.809999942779541,5.809999942779541,5.260000228881836,5.5,5.5,102588100
2021-02-10,5.710000038146973,6.590000152587891,5.449999809265137,5.800000190734863,5.800000190734863,152810800
2021-02-11,5.619999885559082,5.849999904632568,5.46999979019165,5.610000133514404,5.610000133514404,55482400
2021-02-12,5.71999979019165,5.96999979019165,5.519999980926514,5.590000152587891,5.590000152587891,46036700
