Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,67.80999755859375,68.41500091552734,66.30999755859375,66.88999938964844,66.88999938964844,241800
2021-01-05,66.36000061035156,67.68000030517578,66.36000061035156,66.58999633789062,66.58999633789062,278000
2021-01-06,66.87999725341797,68.9800033569336,66.87999725341797,68.69000244140625,68.69000244140625,415800
2021-01-07,69.0999984741211,70.80999755859375,69.0999984741211,70.7699966430664,70.7699966430664,292200
2021-01-08,71.0,71.37999725341797,70.39399719238281,71.1500015258789,71.1500015258789,375000
2021-01-11,70.94999694824219,72.05500030517578,70.81999969482422,71.5199966430664,71.5199966430664,286000
2021-01-12,71.91999816894531,72.6500015258789,71.69999694824219,72.16000366210938,72.16000366210938,278500
2021-01-13,72.18000030517578,72.4800033569336,71.68499755859375,72.23999786376953,72.23999786376953,271400
2021-01-14,72.81999969482422,73.26000213623047,71.12999725341797,71.16999816894531,71.16999816894531,354400
2021-01-15,70.77999877929688,71.16999816894531,69.80000305175781,70.08999633789062,70.08999633789062,334400
2021-01-19,70.43000030517578,71.70999908447266,70.0,71.69000244140625,71.69000244140625,310600
2021-01-20,71.91000366210938,72.4000015258789,70.3499984741211,71.20999908447266,71.20999908447266,195600
2021-01-21,71.0,71.6449966430664,70.27999877929688,70.70999908447266,70.70999908447266,207200
2021-01-22,70.44999694824219,70.98999786376953,69.66999816894531,70.29000091552734,70.29000091552734,268500
2021-01-25,70.30000305175781,71.26499938964844,69.83000183105469,70.83000183105469,70.83000183105469,221900
2021-01-26,70.95999908447266,70.95999908447266,68.9000015258789,69.63999938964844,69.63999938964844,258500
2021-01-27,68.5999984741211,69.38999938964844,67.04000091552734,67.36000061035156,67.36000061035156,410500
2021-01-28,67.26000213623047,68.5999984741211,66.07499694824219,67.72000122070312,67.72000122070312,540500
2021-01-29,70.8499984741211,71.51000213623047,64.21499633789062,64.8499984741211,64.8499984741211,787500
2021-02-01,65.37000274658203,67.06999969482422,64.6500015258789,66.83000183105469,66.83000183105469,513800
2021-02-02,67.37000274658203,67.5199966430664,65.13999938964844,66.55000305175781,66.55000305175781,535300
2021-02-03,66.44000244140625,67.68000030517578,65.81999969482422,66.19999694824219,66.19999694824219,550400
2021-02-04,66.12000274658203,66.4000015258789,64.98999786376953,65.43000030517578,65.43000030517578,388800
2021-02-05,65.88999938964844,66.29000091552734,65.37000274658203,66.22000122070312,66.22000122070312,334300
2021-02-08,66.33000183105469,68.12000274658203,66.0199966430664,68.12000274658203,68.12000274658203,409300
2021-02-09,68.12999725341797,68.2249984741211,65.5,66.37000274658203,66.37000274658203,363100
2021-02-10,66.77999877929688,67.0999984741211,66.11000061035156,66.1500015258789,66.1500015258789,426500
2021-02-11,66.2300033569336,67.08999633789062,65.16000366210938,66.8499984741211,66.8499984741211,554600
2021-02-12,67.0,67.58999633789062,66.31999969482422,67.25,67.25,347300
